epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.978,1.24777,2.54448,1.48017,0.95938,0.94786,0.98804,0.70574,0.99821,0.73178,1.36032,0.000138944,0.000138944,0.000138944
2,480.852,1.03818,1.13448,1.27091,0.97753,0.99081,0.9902,0.72981,0.95635,0.54248,1.31852,0.000268772,0.000268772,0.000268772
3,698.848,1.00287,0.83821,1.23877,0.98061,0.99392,0.98936,0.75019,0.89161,0.49908,1.2544,0.000389426,0.000389426,0.000389426
4,925.578,0.97153,0.71902,1.21513,0.99017,0.9903,0.99212,0.77415,0.84071,0.43142,1.21738,0.000375717,0.000375717,0.000375717
5,1149.37,0.93267,0.63683,1.18996,0.99194,0.99141,0.99095,0.78905,0.8143,0.40983,1.19533,0.000361956,0.000361956,0.000361956
6,1385.59,0.90782,0.59823,1.17664,0.98948,0.99551,0.99151,0.78701,0.81324,0.38532,1.19867,0.000348195,0.000348195,0.000348195
7,1649.06,0.87894,0.55927,1.15992,0.99084,0.998,0.99342,0.79896,0.79372,0.36523,1.1722,0.000334434,0.000334434,0.000334434
8,1900.71,0.86231,0.53369,1.15173,0.99073,0.99214,0.99271,0.80389,0.77982,0.35854,1.16391,0.000320673,0.000320673,0.000320673
9,2168.37,0.84581,0.50898,1.14139,0.99081,0.99561,0.99343,0.80958,0.76439,0.33907,1.15581,0.000306912,0.000306912,0.000306912
10,2418.95,0.83052,0.49297,1.13094,0.99072,0.99583,0.99279,0.81249,0.75323,0.33457,1.15262,0.000293151,0.000293151,0.000293151
11,2642.03,0.82313,0.48379,1.12772,0.98863,0.99718,0.9938,0.81853,0.74085,0.32402,1.13807,0.00027939,0.00027939,0.00027939
12,2865.48,0.8071,0.46514,1.11982,0.98772,0.99383,0.99327,0.82354,0.73785,0.31836,1.13655,0.000265629,0.000265629,0.000265629
13,3098.9,0.79338,0.45114,1.11113,0.98669,0.99751,0.99302,0.82512,0.72867,0.3129,1.13185,0.000251868,0.000251868,0.000251868
14,3338.63,0.78309,0.44242,1.106,0.98965,0.99351,0.99277,0.82774,0.71961,0.31193,1.12076,0.000238107,0.000238107,0.000238107
15,3587.35,0.77942,0.43386,1.10194,0.98829,0.99685,0.99363,0.8331,0.71117,0.29679,1.11395,0.000224346,0.000224346,0.000224346
16,3826.44,0.76439,0.42162,1.09257,0.98931,0.99665,0.99297,0.83305,0.70359,0.29737,1.10948,0.000210585,0.000210585,0.000210585
17,4069.14,0.75365,0.41478,1.09043,0.99216,0.99727,0.99367,0.83508,0.695,0.28841,1.1035,0.000196824,0.000196824,0.000196824
18,4306.35,0.74209,0.40722,1.08816,0.98794,0.99751,0.99282,0.83913,0.69256,0.28794,1.10159,0.000183063,0.000183063,0.000183063
19,4549.8,0.73899,0.40036,1.08307,0.99254,0.9935,0.99308,0.84262,0.68794,0.28493,1.10051,0.000169302,0.000169302,0.000169302
20,4789.55,0.72894,0.39376,1.07813,0.98883,0.996,0.99285,0.84411,0.68094,0.27933,1.09313,0.000155541,0.000155541,0.000155541
21,5045.25,0.65532,0.30346,1.09451,0.9893,0.99616,0.99363,0.8477,0.67001,0.2753,1.08706,0.00014178,0.00014178,0.00014178
22,5279.4,0.64133,0.29385,1.0856,0.98995,0.998,0.99359,0.85196,0.66333,0.26799,1.08168,0.000128019,0.000128019,0.000128019
23,5514.7,0.62663,0.28426,1.07324,0.99094,0.996,0.99317,0.85274,0.65726,0.26394,1.07527,0.000114258,0.000114258,0.000114258
24,5743.5,0.61475,0.27744,1.0657,0.99097,0.99658,0.99369,0.8572,0.65042,0.25943,1.06878,0.000100497,0.000100497,0.000100497
25,5977.61,0.60262,0.27052,1.0565,0.99029,0.99181,0.99283,0.85696,0.64931,0.25976,1.06902,8.6736e-05,8.6736e-05,8.6736e-05
26,6203.22,0.59335,0.26619,1.0505,0.98984,0.9954,0.99348,0.85736,0.64664,0.25749,1.06733,7.2975e-05,7.2975e-05,7.2975e-05
27,6434.34,0.58382,0.26049,1.04452,0.9908,0.994,0.99318,0.86106,0.64073,0.25575,1.06357,5.9214e-05,5.9214e-05,5.9214e-05
28,6663.93,0.57548,0.25535,1.03975,0.98899,0.9975,0.99334,0.8627,0.63746,0.25162,1.0608,4.5453e-05,4.5453e-05,4.5453e-05
29,6891.73,0.56827,0.25123,1.03372,0.99265,0.995,0.99371,0.86212,0.63744,0.25074,1.06232,3.1692e-05,3.1692e-05,3.1692e-05
30,7109.41,0.56094,0.24772,1.02841,0.99522,0.9945,0.9938,0.86298,0.63697,0.24935,1.06204,1.7931e-05,1.7931e-05,1.7931e-05
